case_number,source_file_key,docket_numbers,citation,citation_year,citation_seq,case_name,pdf_url,date_argued,date_issued,days_to_decision,term_year,lower_court,lower_court_type,lower_court_judge,case_type,appeal_type,outcome,author,author_display,majority,dissent,concur_separate,not_participating,vote_string,is_unanimous,has_dissent,has_separate_concurrence,topics,rsa_citations,rsa_primary,involves_statutory_interpretation,standard_of_review,summary_paragraph,word_count,opinion_type,parse_version,parse_timestamp,parse_confidence
2013-0833,2013-0833,['2013-0833'],,,,State of New Hampshire v. Wade S. Holmes,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130833.pdf,,2015-03-16,,2015,,administrative,,criminal,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'constitutional', 'tort', 'evidence']","['RSA 630:3', 'RSA 626:2, II']",RSA 630:3,False,[],,1319,case_order,1.0.0,2026-07-16T02:04:04.912414,0.8
2013-0860,2013-0860,['2013-0860'],,,,State of New Hampshire v. Tino Marino,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130860.pdf,,2015-02-19,,2015,Superior Court,superior_court,Brown,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['criminal'],['RSA 504-A:4'],RSA 504-A:4,False,[],,634,case_order,1.0.0,2026-07-16T02:04:05.337450,0.8
2013-0886,2013-0886,['2013-0886'],,,,State of New Hampshire v. Joshua Fowler,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20130886.pdf,,2015-01-09,,2015,"Superior Court (Delker, J.)",superior_court,Delker,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['criminal', 'family_law', 'property']","['RSA 635:1', 'RSA 626:8']",RSA 635:1,False,[],,1293,case_order,1.0.0,2026-07-16T02:04:05.872132,0.8
2014-0006,2014-0006,['2014-0006'],,,,State of New Hampshire v. Jose Sanchez-Grullon,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140006.pdf,,2015-01-22,,2015,"Superior Court (Garfunkel, J.)",superior_court,Garfunkel,criminal,standard,dismissed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['criminal', 'civil_procedure']",['RSA 631:1'],RSA 631:1,False,[],,441,case_order,1.0.0,2026-07-16T02:04:06.471446,0.8
2014-0007,2014-0007,['2014-0007'],,,,In the Matter of Greydon Colby and Alicia Colby,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140007.pdf,,2015-01-23,,2015,,,,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['insurance', 'family_law', 'employment', 'tort']","['RSA 458-C:2, IV', 'RSA 458']","RSA 458-C:2, IV",False,['clear_error'],,1460,case_order,1.0.0,2026-07-16T02:04:06.744075,0.8
2014-0009,2014-0009,['2014-0009'],,,,State of New Hampshire v. Vincent R. McGinity,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140009.pdf,,2015-11-18,,2015,"Superior Court (Bornstein, J.)",superior_court,Bornstein,criminal,standard,affirmed,per_curiam,Per Curiam,2,0,0,1,2-0,True,False,False,"['criminal', 'constitutional']","['RSA 637:3', 'RSA 637:11, I']",RSA 637:3,False,[],,1089,case_order,1.0.0,2026-07-16T02:04:08.668883,0.8
2014-0022,2014-0022,['2014-0022'],,,,"New Hampshire Department of Environmental Services v. Donald R. Lee, Sr.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140022.pdf,,2015-01-30,,2015,Superior Court,superior_court,O’Neill,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['civil_procedure'],['RSA 482-A:14'],RSA 482-A:14,False,[],,314,case_order,1.0.0,2026-07-16T02:04:09.439890,0.8
2014-0073,2014-0073,['2014-0073'],,,,Nancy S. Stillwagon v. State of New Hampshire & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140073.pdf,,2015-01-30,,2015,Superior Court,superior_court,O’Neill,civil,standard,affirmed,per_curiam,Per Curiam,2,0,0,1,2-0,True,False,False,"['administrative_law', 'civil_procedure', 'constitutional', 'tort', 'evidence']","['RSA 161-F:46', 'RSA 464-A']",RSA 161-F:46,False,[],,423,case_order,1.0.0,2026-07-16T02:04:09.556095,0.8
2014-0081,2014-0081,['2014-0081'],,,,Bradford Dutton v. Town of Salem,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140081.pdf,,2015-05-22,,2015,Superior Court,superior_court,,civil,standard,reversed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['civil_procedure', 'property', 'contract', 'tort', 'tax']",['RSA 507-B:2-b'],RSA 507-B:2-b,False,['de_novo'],,1419,case_order,1.0.0,2026-07-16T02:04:12.127903,0.8
2014-0091,2014-0091,['2014-0091'],,,,State of New Hampshire v. Brian Benoit,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140091.pdf,,2015-02-19,,2015,"Circuit Court (Crocker, J.)",circuit_court,Crocker,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['criminal', 'insurance', 'evidence']",[],,False,[],,384,case_order,1.0.0,2026-07-16T02:04:12.300043,0.8
2014-0094,2014-0094,['2014-0094'],,,,Appeal of Town of Troy,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140094.pdf,,2015-01-21,,2015,,administrative,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['administrative_law', 'statutory_interpretation', 'constitutional', 'contract']","['RSA 541', 'RSA 541:13']",RSA 541,True,[],,717,case_order,1.0.0,2026-07-16T02:04:12.557289,0.8
2014-0095,2014-0095,['2014-0095'],,,,Mark Berkovich v. Clifford Jakubowski,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140095.pdf,,2015-01-23,,2015,"Circuit Court (Bamberger, J.)",circuit_court,Bamberger,civil,standard,reversed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['medicaid', 'civil_procedure', 'property', 'contract']","['RSA 540:2, II', 'RSA 540:1-a']","RSA 540:2, II",False,[],,447,case_order,1.0.0,2026-07-16T02:04:12.987382,0.8
2014-0124,2014-0124,['2014-0124'],,,,State of New Hampshire v. William A. Knowles,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140124.pdf,,2015-02-26,,2015,"Superior Court (Wageling, J.)",superior_court,Wageling,criminal,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,[],['RSA 519:23-a'],RSA 519:23-a,False,[],,212,case_order,1.0.0,2026-07-16T02:04:13.554055,0.8
2014-0139,2014-0139,['2014-0139'],,,,Walter W. Cheney v. Town of Newmarket,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140139.pdf,,2015-01-09,,2015,Superior Court,superior_court,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'property']",['RSA 677:4'],RSA 677:4,True,[],,718,case_order,1.0.0,2026-07-16T02:04:13.636412,0.8
2014-0144,2014-0144,['2014-0144'],,,,"Governor's Island Club, Inc. v. Richard Homsi",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140144.pdf,,2015-04-27,,2015,Superior Court,superior_court,O’Neill,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'employment', 'contract']",[],,True,['de_novo'],,1148,case_order,1.0.0,2026-07-16T02:04:16.013733,0.8
2014-0151,2014-0151,['2014-0151'],,,,In the Matter of Helen Prairie and Mark Prairie,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140151.pdf,,2015-09-21,,2015,"Circuit Court (Cardello, J.)",circuit_court,Cardello,family/domestic,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['family_law', 'property', 'tort']",[],,False,[],,1088,case_order,1.0.0,2026-07-16T02:04:16.600506,0.8
2014-0171,2014-0171,['2014-0171'],,,,Lawrence Sprague v. Marc Josephson,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140171.pdf,,2015-01-22,,2015,Circuit Court,circuit_court,Gordon,civil,standard,reversed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,[],[],,False,[],,531,case_order,1.0.0,2026-07-16T02:04:18.510833,0.8
2014-0176,2014-0176,['2014-0176'],,,,David Nemetz v. Town of Sanbornton,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140176.pdf,,2015-03-13,,2015,Superior Court,superior_court,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'constitutional', 'contract', 'tax']",['RSA 80:77'],RSA 80:77,True,[],,319,case_order,1.0.0,2026-07-16T02:04:20.676554,0.8
2014-0179,2014-0179,['2014-0179'],,,,State of New Hampshire v. Troy Burpee,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140179.pdf,,2015-02-18,,2015,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['constitutional', 'evidence']",[],,False,[],,622,case_order,1.0.0,2026-07-16T02:04:20.828893,0.8
2014-0193,2014-0193,['2014-0193'],,,,"22 Lenox Avenue, LLC v. Town of Derry",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140193.pdf,,2015-05-08,,2015,"Superior Court (Wageling, J.)",superior_court,Wageling,civil,standard,dismissed,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['administrative_law', 'civil_procedure', 'property']","['RSA 676:5, III', 'RSA 674:33, I', 'RSA 677:15, I', 'RSA 677:15', 'RSA 676']","RSA 676:5, III",False,[],,1270,case_order,1.0.0,2026-07-16T02:04:21.056619,0.8
2014-0217,2014-0217,['2014-0217'],,,,"DomVincent, LLC v. Town of Derry",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140217.pdf,,2015-02-20,,2015,Superior Court,superior_court,Wageling,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'property']","['RSA 677:4', 'RSA 311:7']",RSA 677:4,False,[],,303,case_order,1.0.0,2026-07-16T02:04:21.335252,0.8
2014-0226,2014-0226,['2014-0226'],,,,"Kulick's, Inc. v. Town of Winchester",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140226.pdf,,2015-03-16,,2015,,,,civil,standard,vacated,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['administrative_law', 'statutory_interpretation', 'property']","['RSA 676:4, I']","RSA 676:4, I",True,[],,949,case_order,1.0.0,2026-07-16T02:04:21.664834,0.8
2014-0229,2014-0229,['2014-0229'],,,,"The Bank of New York Mellon Trust Company, NA v. Nicholas Cohen",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140229.pdf,,2015-02-19,,2015,Circuit Court,circuit_court,Yazinski,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['statutory_interpretation', 'property', 'contract']","['RSA 540:17', 'RSA 490-F:3', 'RSA 540:18', 'RSA 502-A:34', 'RSA 479:25, II']",RSA 540:17,True,[],,1135,case_order,1.0.0,2026-07-16T02:04:22.087372,0.8
2014-0242,2014-0242,['2014-0242'],,,,Appeal of Katherine Lajoie & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140242.pdf,,2015-03-17,,2015,,administrative,,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['administrative_law', 'statutory_interpretation']","['RSA 541:13', 'RSA 21-O:14, III', 'RSA 21-O:14, I']",RSA 541:13,True,['de_novo'],,1342,case_order,1.0.0,2026-07-16T02:04:22.574400,0.8
2014-0246,2014-0246,['2014-0246'],,,,Peter E. Hutchins & a. v. Beverly A. Hollingworth,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140246.pdf,,2015-03-16,,2015,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,affirmed,per_curiam,Per Curiam,2,0,0,1,2-0,True,False,False,['tax'],[],,False,[],,514,case_order,1.0.0,2026-07-16T02:04:23.107910,0.8
2014-0254,2014-0254,['2014-0254'],,,,State of New Hampshire v. David Larose,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140254.pdf,,2015-10-09,,2015,"Superior Court (Delker, J.)",superior_court,Delker,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,['DWI'],"['RSA 318-B:2, I', 'RSA 265-A:43']","RSA 318-B:2, I",False,"['de_novo', 'clear_error']",,1286,case_order,1.0.0,2026-07-16T02:04:23.710611,0.8
2014-0257,2014-0257,['2014-0257'],,,,"Michael J. Glick, DDS v. Chocorua Forestlands Limited Partnership; Chocorua Forestlands, LLC v. Michael J. Glick, DDS & a.; Chocorua Forestlands Limited Partnership & a. v. Michael J. Glick, DDS",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140257.pdf,,2015-06-22,,2015,"Superior Court (Houran, J.)",superior_court,Houran,civil,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['property', 'contract', 'tax']",[],,False,[],,1406,case_order,1.0.0,2026-07-16T02:04:26.354828,0.8
2014-0258,2014-0258,['2014-0258'],,,,Appeal of Glenn McCreery,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140258.pdf,,2015-02-09,,2015,,,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['statutory_interpretation'],[],,True,['de_novo'],,871,case_order,1.0.0,2026-07-16T02:04:26.544524,0.8
2014-0260,2014-0260,['2014-0260'],,,,Thomas Kent v. Wells Fargo Home Mortgage,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140260.pdf,,2015-02-06,,2015,,,,civil,standard,affirmed,per_curiam,Per Curiam,2,0,0,0,2-0,True,False,False,['property'],[],,False,[],,183,case_order,1.0.0,2026-07-16T02:04:27.140358,0.8
2014-0263,2014-0263,['2014-0263'],,,,Vanessa Vanderhoek v. Aylward Motors,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140263.pdf,,2015-03-17,,2015,Circuit Court,circuit_court,Ashley,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['statutory_interpretation', 'contract', 'tort', 'evidence']",['RSA 503:7'],RSA 503:7,True,[],,638,case_order,1.0.0,2026-07-16T02:04:27.240472,0.8
2014-0265,2014-0265,['2014-0265'],,,,"Peter Saunders & a. v. Wells Fargo Bank, N.A.",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140265.pdf,,2015-02-12,,2015,"Superior Court (Wageling, J.)",superior_court,Wageling,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['civil_procedure', 'statutory_interpretation', 'constitutional', 'property', 'contract']",[],,True,['plain_error'],,579,case_order,1.0.0,2026-07-16T02:04:30.428369,0.8
2014-0267,2014-0267,['2014-0267'],,,,State of New Hampshire v. Hagen Esty-Lennon,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140267.pdf,,2015-03-12,,2015,"Circuit Court (Coughlin, J.)",circuit_court,Coughlin,family/domestic,standard,reversed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['family_law', 'constitutional', 'domestic_violence']","['RSA 173-B:9', 'RSA 644:4, I']",RSA 173-B:9,False,[],,693,case_order,1.0.0,2026-07-16T02:04:30.674456,0.8
2014-0269,2014-0269,['2014-0269'],,,,In the Matter of David Martin and Stephanie Pelley,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140269.pdf,at the,2015-03-13,,2015,Circuit Court,circuit_court,Moore,family/domestic,standard,vacated,per_curiam,Per Curiam,3,0,0,6,3-0,True,False,False,[],[],,False,[],,183,case_order,1.0.0,2026-07-16T02:04:30.934955,0.8
2014-0272,2014-0272,['2014-0272'],,,,State of New Hampshire v. Angelo Palmer,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140272.pdf,,2015-01-20,,2015,Circuit Court,circuit_court,Carroll,criminal,standard,reversed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['criminal', 'statutory_interpretation', 'evidence']","['RSA 631:2-a', 'RSA 632-A:4', 'RSA 651:5, II', 'RSA 651:5, I', 'RSA 651:5, III']",RSA 631:2-a,True,[],,1014,case_order,1.0.0,2026-07-16T02:04:31.262496,0.8
2014-0273,2014-0273,['2014-0273'],,,,In the Matter of Garrett Lear and Annette Lear,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140273.pdf,,2015-02-27,,2015,"Circuit Court (Patten, J.)",circuit_court,Patten,family/domestic,standard,,per_curiam,Per Curiam,0,0,0,2,N/A,False,False,False,"['family_law', 'property', 'employment', 'tax']","['RSA 458:7, III', 'RSA 458:16', 'RSA 458:16-a, II', 'RSA 458:19, I', 'RSA 458:19, IV']","RSA 458:7, III",False,[],,1408,case_order,1.0.0,2026-07-16T02:04:31.615667,0.8
2014-0283,2014-0283,['2014-0283'],,,,Heather McKenna v. Mark Collier,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140283.pdf,,2015-05-08,,2015,Circuit Court,circuit_court,Stephen,family/domestic,standard,reversed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,"['criminal', 'domestic_violence']","['RSA 633:3-a', 'RSA 633:3-a, I', 'RSA 173-B:3, I', 'RSA 633:3-a, III', 'RSA 173-B']",RSA 633:3-a,False,[],,941,case_order,1.0.0,2026-07-16T02:04:32.039339,0.8
2014-0292,2014-0292,['2014-0292'],,,,State of New Hampshire v. Dianne M. Sage,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140292.pdf,,2015-01-20,,2015,,,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['civil_procedure'],"['RSA 637:3-a, II', 'RSA 637:3-A', 'RSA 637:2, VI']","RSA 637:3-a, II",False,['plain_error'],,962,case_order,1.0.0,2026-07-16T02:04:32.534103,0.8
2014-0293,2014-0293,['2014-0293'],,,,Mastoran Corporation v. New Hampshire Department of Environmental Services & a.,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140293.pdf,,2015-03-17,,2015,,,,civil,standard,affirmed,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['civil_procedure'],"['RSA 482:41-f', 'RSA 482-A:17', 'RSA 482:41-e', 'RSA 482-A:16']",RSA 482:41-f,False,[],,318,case_order,1.0.0,2026-07-16T02:04:33.091715,0.8
2014-0295,2014-0295,['2014-0295'],,,,In the Matter of Marianne Carvell and Ronald Carvell,https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2021-09/20140295.pdf,,2015-04-07,,2015,Circuit Court,circuit_court,Moore,family/domestic,standard,vacated,per_curiam,Per Curiam,3,0,0,0,3-0,True,False,False,['family_law'],[],,False,[],,1153,case_order,1.0.0,2026-07-16T02:04:33.723784,0.8
