short_name,full_name,website,attorney_name,review_status
C&R,Casassa and Ryan,https://www.casassaryan.com,John J. Ryan,pre-existing
CAB,,,Beverly Desmarais,skipped — government/public entity
CB&Z,"Cronin, Bisson & Zalinsky, P.C.",https://www.cbzlaw.com,Christopher B. Drescher,pre-existing
CB&Z,"Cronin, Bisson & Zalinsky, P.C.",https://www.cbzlaw.com,"Daniel D. Muller, Jr",pre-existing
CCC,"Cooper Cargill Chant, P.A.",https://www.coopercargillchant.com,Christopher T. Meier,pre-existing
CCC,"Cooper Cargill Chant, P.A.",https://www.coopercargillchant.com,Randall F. Cooper,pre-existing
CLR&M,"Cook, Little, Rosenblatt & Manson, P.L.L.C.",https://www.hinckleyallen.com/,Kathleen M. Mahan,matched — expanded all-attorney historical verification
CM&O,,,John A. Curran,manual review — historical/deceased or out-of-state attorney; no defensible firm match
CRM&L,"Coughlin, Rainboth, Murphy & Lown, P.A.",https://www.nhtrialattorneys.com,"James E. Coughenour, Jr.",pre-existing
CW&B,"Cleveland, Waters and Bass, P.A.",https://www.cwbpa.com,David W. Rayment,pre-existing
CW&B,"Cleveland, Waters and Bass, P.A.",https://www.cwbpa.com,Jeffrey C. Christensen,pre-existing
CW&B,"Cleveland, Waters and Bass, P.A.",https://www.cwbpa.com,Mark D. Wiseman,pre-existing
City of Concord,,,Danielle L. Pacik,skipped — government/public entity
City of Concord,,,"James W. Kennedy, III",skipped — government/public entity
City of Dover,,,Joshua M. Wyatt,skipped — government/public entity
City of Nashua,,,Christine K. Leonard,skipped — government/public entity
City of Nashua,,,Nicole M. Clay,skipped — government/public entity
D&D,"Drescher & Dokmo, PA",https://www.drescherdokmo.com,William R. Drescher,pre-existing
D&S,"Dickinson & Silverman, PLLC",,Gregory L. Silverman,pre-existing
DL&G,"Douglas, Leonard & Garvey, P.C.",https://www.nhlawoffice.com,Benjamin T. King,pre-existing
DL&G,"Douglas, Leonard & Garvey, P.C.",https://www.nhlawoffice.com,Jared J. Bedrick,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,Eric G. Falkenham,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,Jonathan M. Shirley,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,Matthew R. Johnson,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,Richard P. Driscoll,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,"Thomas B. Quarles, Jr",pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,Thomas Quarles,pre-existing
DM&B,"Devine, Millimet & Branch, P.A.",https://www.devinemillimet.com,William F. Gramer,pre-existing
DS,"Kirsten Wilson Law, PLLC",https://www.kirstenwilsonlaw.com,Kirsten B. Wilson,pre-existing
DT&C,"Donahue, Tucker & Ciandella, PLLC",https://dtclawyers.com,Christopher L. Boldt,pre-existing
DT&C,"Donahue, Tucker & Ciandella, PLLC",https://dtclawyers.com,Christopher T. Hilson,pre-existing
DT&C,"Donahue, Tucker & Ciandella, PLLC",https://dtclawyers.com,Eric A. Maher,pre-existing
DT&C,"Donahue, Tucker & Ciandella, PLLC",https://dtclawyers.com,William K. Warren,pre-existing
DW,Drummond Woodsum,https://dwmlaw.com,Demetrio F. Aspiras,pre-existing
DW,Drummond Woodsum,https://dwmlaw.com,Keriann Roman,pre-existing
DW&M,Drummond Woodsum & MacMahon,https://dwmlaw.com,"Demetrio F. Aspiras, III",pre-existing
Desmarais L/G,"Desmarais Law Group, PLLC",https://www.desmaraislawgroup.com,Debra L. Mayotte,pre-existing
ELG,Elias Law Group LLP,https://www.elias.law,J.P. Hawley,pre-existing
F&B,"Friedman & Bresaw, PLLC",https://fblawnh.com,Jesse Friedman,pre-existing
F&B,"Friedman & Bresaw, PLLC",https://fblawnh.com,John J. Bresaw,pre-existing
FCP&A,"Forman, Clark, Pockell & Associates, P.A.",,Steven A. Clark,matched — NH Supreme Court opinion / historical firm
G&S,"Gens & Stanton, P.C.",https://www.genslawoffices.com,William E. Gens,pre-existing
GC&G,"Gallagher, Callahan & Gartrell, PC",https://www.gcglaw.com,Matthew V. Burrows,pre-existing
GC&G,"Gallagher, Callahan & Gartrell, PC",https://www.gcglaw.com,R. Matthew Cairns,pre-existing
GC&G,"Gallagher, Callahan & Gartrell, PC",https://www.gcglaw.com,Robert J. Dietel,pre-existing
GC&G,"Gallagher, Callahan & Gartrell, PC",https://www.gcglaw.com,Samantha D. Elliott,pre-existing
GS&S,"Getman, Stacey, Schulthess & Steere, P.A.",https://www.gssp-lawyers.com,Elizabeth L. Hurley,pre-existing
GS&S,"Getman, Stacey, Schulthess & Steere, P.A.",https://www.gssp-lawyers.com,Naomi L. Getman,pre-existing
GSS&P,"Poulin Hurley Makris & Lyons, P.A. (formerly Getman, Schulthess, Steere & Poulin, P.A.)",https://www.gssp-lawyers.com,Clara E. Lyons,pre-existing
H&B,Honig & Barnes LLP,https://www.honigbarnes.com/,Sherman D. Honig,matched — expanded all-attorney historical verification
H&K,"Hamblett & Kerrigan, P.A.",https://www.nashualaw.com/,Kevin P. Rauseo,matched — expanded all-attorney historical verification
H&M,Howard & McBeath PLLC,https://www.howardmcbeath.com,Maureen Howard,matched
HH,"Hage Hodes, P.A.",https://hagehodes.com/,Jamie N. Hage,user-confirmed firm mapping
HH,"Hage Hodes, P.A.",https://hagehodes.com/,Robert H. Hodes,user-confirmed firm mapping
HLF,"The Hannon Law Firm, LLC",https://www.hannonlaw.com/,Kevin S. Hannon,matched — expanded all-attorney historical verification
HM,"Hastings Malia, P.A.",https://www.hastings-law.com/,"Peter J. Malia, Jr",matched — expanded all-attorney historical verification
HP&L,"Haughey, Philpot & Laurent, P.A.",https://hpllaw.com,Christopher J. Fischer,matched — NH Supreme Court opinion / official firm site
HPG&R,"Hoefle, Phoenix, Gormley & Roberts, PLLC",https://www.hpgrlaw.com/,Jacob Marvelley,matched — expanded all-attorney historical verification
J&K,Janson & Koppenheffer PLLC,https://www.j-klaw.com,William K. Koppenheffer,matched
JL,Jackson Lewis P.C.,https://www.jacksonlewis.com/,Matthew R. Van Oot,matched — expanded all-attorney historical verification
JL,Jackson Lewis P.C.,https://www.jacksonlewis.com/,Samuel H. Martin,matched — expanded all-attorney historical verification
KD&W,Kelley Drye & Warren LLP,https://www.kelleydrye.com,David L. Zalman,matched
LC,Litchfield Cavo LLP,https://www.litchfieldcavo.com,Mark A. Darling,matched
LG,"Lothstein Guerriero, PLLC",https://www.nhdefender.com,Richard C. Guerriero,matched
LG,"Lothstein Guerriero, PLLC",https://www.nhdefender.com,Theodore M. Lothstein,matched
LLS,Law Offices of Daniel P. Hynes,,Daniel P. Hynes,matched firm — website not verified
LML,"Lehmann Major List, PLLC",https://www.nhlawyer.com,Richard J. Lehmann,matched
M&B,"Maggiotto & Belobrow, PLLC",https://www.maggiottoandbelobrow.com,Corey M. Belobrow,matched — court record / historical firm
M&H,"Martin & Hipple, PLLC",https://www.nhlegalservices.com,Stephen T. Martin,matched
M&K,"Milner & Krupski, PLLC",https://www.molanlaw.com/,John S. Krupski,matched — expanded all-attorney historical verification
M&K,"Milner & Krupski, PLLC",https://www.molanlaw.com/,Marc G. Beaudoin,matched — expanded all-attorney historical verification
M&M,"McDowell & Morrissette, P.A.",https://www.mcdowell-morrissette.com,Mark D. Morrissette,matched
M&S,"Malloy & Sullivan, Lawyers Professional Corporation",https://www.malloyandsullivan.com,Gregory V. Sullivan,matched
M&S,"Malloy & Sullivan, Lawyers Professional Corporation",https://www.malloyandsullivan.com,Kathleen C. Sullivan,matched
MEE&B,"Marcus, Errico, Emmer & Brooks, P.C.",https://www.meeb.com/,Edmund A. Allcock,matched — expanded all-attorney historical verification
MGR&M,"McLane, Graf, Raulerson & Middleton, P.A.",https://www.mclane.com/,Peter D. Anderson,matched — expanded all-attorney historical verification
ML&O,,,Lissa D. Mascio,manual review — historical/deceased or out-of-state attorney; no defensible firm match
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,Brian A. Suslak,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,Bruce W. Felmly,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,Jeremy T. Walker,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,John P. Knight,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,Linda M. Smith,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,R. David DePuy,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,Scott H. Harris,user-confirmed firm mapping
MM,"McLane Middleton, Professional Association",https://www.mclane.com/,"Wilbur A. Glahn, III",user-confirmed firm mapping
MMG,"Mitchell Municipal Group, P.A.",https://www.mitchellmunicipalgroup.com/,"Joseph H. Driscoll, IV",matched — expanded all-attorney historical verification
MMG,"Mitchell Municipal Group, P.A.",https://www.mitchellmunicipalgroup.com/,Laura A. Spector-Morgan,matched — expanded all-attorney historical verification
MMG,"Mitchell Municipal Group, P.A.",https://www.mitchellmunicipalgroup.com/,Laura Spector-Morgan,matched — expanded all-attorney historical verification
MOW&M,"McDonough, O'Shaughnessy, Whaland & Meagher, PLLC",https://www.lawfirmnh.com,Robert J. Meagher,matched
Marshall L/O,Marshall Law Office,,Brian D. Kenyon,matched firm — website not verified
NC&O,"Normandin, Cheney & O'Neil, PLLC",https://www.ncolaw.com,William D. Woodbury,matched
NEA-NH,,,James F. Allmendinger,skipped — non-law-firm organization
NERE&LUL,"New England Real Estate and Land Use Law, PLLC",,Nancy M. Clark,matched — user-confirmed; no standalone firm website located
NH Appellate Defender,,,Anthony J. Naro,skipped — government/public entity
NH Appellate Defender,,,Anthony Naro,skipped — government/public entity
NH Appellate Defender,,,Carl Swenson,skipped — government/public entity
NH Appellate Defender,,,Christine C. List,skipped — government/public entity
NH Appellate Defender,,,Christopher M. Johnson,skipped — government/public entity
NH Appellate Defender,,,David,skipped — government/public entity
NH Appellate Defender,,,David M. Hendricks,skipped — government/public entity
NH Appellate Defender,,,David M. Rothstein,skipped — government/public entity
NH Appellate Defender,,,David W. Flinchbaugh,skipped — government/public entity
NH Appellate Defender,,,Eric S. Wolpin,skipped — government/public entity
NH Appellate Defender,,,Jason M. Novak,skipped — government/public entity
NH Appellate Defender,,,Joseph M. Frankel,skipped — government/public entity
NH Appellate Defender,,,Maria D. Savarese,skipped — government/public entity
NH Appellate Defender,,,Matthew Mc,skipped — government/public entity
NH Appellate Defender,,,Matthew McNicoll,skipped — government/public entity
NH Appellate Defender,,,Pamela E. Phelan,skipped — government/public entity
NH Appellate Defender,,,Pamela Phelan,skipped — government/public entity
NH Appellate Defender,,,Paul Borchardt,skipped — government/public entity
NH Appellate Defender,,,Sarah E. Newhall,skipped — government/public entity
NH Appellate Defender,,,Stephanie C. Hau,skipped — government/public entity
NH Appellate Defender,,,Stephanie C. Hausman,skipped — government/public entity
NH Appellate Defender,,,Stephanie Hausman,skipped — government/public entity
NH Appellate Defender,,,Thomas A. Barnard,skipped — government/public entity
NH Appellate Defender,,,Thomas Barn,skipped — government/public entity
NH Appellate Defender,,,Thomas Barnard,skipped — government/public entity
NH Attorney General,,,Aaron Ginsberg,skipped — government/public entity
NH Attorney General,,,Allison B. Greenstein,skipped — government/public entity
NH Attorney General,,,Anthony J. Galdieri,skipped — government/public entity
NH Attorney General,,,Anthony P. Girgenti,skipped — government/public entity
NH Attorney General,,,Audriana Mekula,skipped — government/public entity
NH Attorney General,,,Benjamin W. Maki,skipped — government/public entity
NH Attorney General,,,Brandon H. Garod,skipped — government/public entity
NH Attorney General,,,Brendan A. O'Donnell,skipped — government/public entity
NH Attorney General,,,Bryan J. Townsend,skipped — government/public entity
NH Attorney General,,,Callan E. Sullivan,skipped — government/public entity
NH Attorney General,,,Christina M. Wilson,skipped — government/public entity
NH Attorney General,,,Christopher G. Aslin,skipped — government/public entity
NH Attorney General,,,Christopher G. Bond,skipped — government/public entity
NH Attorney General,,,Colin P. Carroll,skipped — government/public entity
NH Attorney General,,,Daniel E. Will,skipped — government/public entity
NH Attorney General,,,Danielle E. Horgan,skipped — government/public entity
NH Attorney General,,,Danielle E. Sakowski,skipped — government/public entity
NH Attorney General,,,Diana E. Fenton,skipped — government/public entity
NH Attorney General,,,Elizabeth,skipped — government/public entity
NH Attorney General,,,Elizabeth A. Lahey,skipped — government/public entity
NH Attorney General,,,Elizabeth C. Velez,skipped — government/public entity
NH Attorney General,,,Elizabeth C. Woodcock,skipped — government/public entity
NH Attorney General,,,Elizabeth Woodcock,skipped — government/public entity
NH Attorney General,,,Emily C. Goering,skipped — government/public entity
NH Attorney General,,,Erin E. Fitzgerald,skipped — government/public entity
NH Attorney General,,,"Francis C. Fredericks, Jr",skipped — government/public entity
NH Attorney General,,,Gilles Bissonnette,skipped — government/public entity
NH Attorney General,,,Gilles R. Bissonnette,skipped — government/public entity
NH Attorney General,,,Gordon P. Landrigan,skipped — government/public entity
NH Attorney General,,,Gregory M. Albert,skipped — government/public entity
NH Attorney General,,,Heather A. Cherniske,skipped — government/public entity
NH Attorney General,,,Heather A. Flanner,skipped — government/public entity
NH Attorney General,,,Heather Cherniske,skipped — government/public entity
NH Attorney General,,,Henry R. Klementowicz,skipped — government/public entity
NH Attorney General,,,James H. Holl,skipped — government/public entity
NH Attorney General,,,Jason A. Casey,skipped — government/public entity
NH Attorney General,,,Jeffery A. Strelzin,skipped — government/public entity
NH Attorney General,,,Jennifer A. Eber,skipped — government/public entity
NH Attorney General,,,Jennifer Ramsey,skipped — government/public entity
NH Attorney General,,,Jessica A. King,skipped — government/public entity
NH Attorney General,,,Jill A. Perlow,skipped — government/public entity
NH Attorney General,,,Joe M. Fincham,skipped — government/public entity
NH Attorney General,,,John J. Conforti,skipped — government/public entity
NH Attorney General,,,John J. Kennedy,skipped — government/public entity
NH Attorney General,,,John J. Mc,skipped — government/public entity
NH Attorney General,,,"John J. McCormack, IV",skipped — government/public entity
NH Attorney General,,,"John P. Sansone, Jr.",skipped — government/public entity
NH Attorney General,,,John W. Crongeyer,skipped — government/public entity
NH Attorney General,,,Joshua C. Harrison,skipped — government/public entity
NH Attorney General,,,Joshua L. Speicher,skipped — government/public entity
NH Attorney General,,,Joshua M. Speicher,skipped — government/public entity
NH Attorney General,,,K. Allen,skipped — government/public entity
NH Attorney General,,,Kenneth A. Sansone,skipped — government/public entity
NH Attorney General,,,Laura E.B. Lombardi,skipped — government/public entity
NH Attorney General,,,Lisa L. Wolford,skipped — government/public entity
NH Attorney General,,,Lisa M. English,skipped — government/public entity
NH Attorney General,,,Mary A. Triic,skipped — government/public entity
NH Attorney General,,,Mary A. Triick,skipped — government/public entity
NH Attorney General,,,Mary E. Maloney,skipped — government/public entity
NH Attorney General,,,MaryBeth L. Misluk,skipped — government/public entity
NH Attorney General,,,Matthew T. Broadhead,skipped — government/public entity
NH Attorney General,,,Meaghan A. Jepsen,skipped — government/public entity
NH Attorney General,,,Megan A. Yaple,skipped — government/public entity
NH Attorney General,,,Meghan C. Hagaman,skipped — government/public entity
NH Attorney General,,,Michael R. Grandy,skipped — government/public entity
NH Attorney General,,,Michael R. Haley,skipped — government/public entity
NH Attorney General,,,Myles B. Matteson,skipped — government/public entity
NH Attorney General,,,Nancy J. Smith,skipped — government/public entity
NH Attorney General,,,Nathan W. Kenison,skipped — government/public entity
NH Attorney General,,,Nicholas P. Cort,skipped — government/public entity
NH Attorney General,,,Peter Hinckley,skipped — government/public entity
NH Attorney General,,,Peter R. Hinckley,skipped — government/public entity
NH Attorney General,,,Philip B. Bradley,skipped — government/public entity
NH Attorney General,,,Rebecca L. Woodard,skipped — government/public entity
NH Attorney General,,,Robert,skipped — government/public entity
NH Attorney General,,,Robert L. Baldridge,skipped — government/public entity
NH Attorney General,,,Sam M. Gonyea,skipped — government/public entity
NH Attorney General,,,Samuel Garland,skipped — government/public entity
NH Attorney General,,,Samuel R.V. Garland,skipped — government/public entity
NH Attorney General,,,Scott D. Chase,skipped — government/public entity
NH Attorney General,,,Sean P. Gill,skipped — government/public entity
NH Attorney General,,,Sean R. List,skipped — government/public entity
NH Attorney General,,,Sean R. Locke,skipped — government/public entity
NH Attorney General,,,Seth M. Zoracki,skipped — government/public entity
NH Attorney General,,,Shane B. Goudas,skipped — government/public entity
NH Attorney General,,,Stacey Kaelin,skipped — government/public entity
NH Attorney General,,,Stacey R. Kaelin,skipped — government/public entity
NH Attorney General,,,Stacie M. Moeser,skipped — government/public entity
NH Attorney General,,,Stephen,skipped — government/public entity
NH Attorney General,,,Stephen D. Fuller,skipped — government/public entity
NH Attorney General,,,Stephen G. La,skipped — government/public entity
NH Attorney General,,,Susan,skipped — government/public entity
NH Attorney General,,,Susan P. Mc,skipped — government/public entity
NH Attorney General,,,Susan P. McGinnis,skipped — government/public entity
NH Attorney General,,,Thomas J. Donovan,skipped — government/public entity
NH Attorney General,,,Thomas R. Broderick,skipped — government/public entity
NH Attorney General,,,View Video,skipped — government/public entity
NH Attorney General,,,Weston R. Sager,skipped — government/public entity
NH Attorney General,,,Zachary L. Higham,skipped — government/public entity
NH Attorney General,,,Zachary Lee,skipped — government/public entity
NHLA,New Hampshire Legal Assistance,https://www.nhla.org/,Diane M. Labbe,matched — user-confirmed firm identity
NHLA,New Hampshire Legal Assistance,https://www.nhla.org/,Ruth D. Heintz,matched — user-confirmed firm identity
NHLA,New Hampshire Legal Assistance,https://www.nhla.org/,Stephen Tower,matched — user-confirmed firm identity
NP,Nixon Peabody LLP,https://www.nixonpeabody.com/,David A. Vicinanzo,matched — expanded all-attorney historical verification
NP,Nixon Peabody LLP,https://www.nixonpeabody.com/,W. Daniel Deane,matched — expanded all-attorney historical verification
O&R,"Orr & Reno, P.A.",https://orr-reno.com/,Jeremy D. Eggleton,matched — user-confirmed firm identity
O&R,"Orr & Reno, P.A.",https://orr-reno.com/,John L. Arnold,matched — user-confirmed firm identity
O&R,"Orr & Reno, P.A.",https://orr-reno.com/,Lisa Snow Wade,matched — user-confirmed firm identity
O&R,"Orr & Reno, P.A.",https://orr-reno.com/,Robert S. Carey,matched — user-confirmed firm identity
O&R,"Orr & Reno, P.A.",https://orr-reno.com/,William L. Chapman,matched — user-confirmed firm identity
P&F,"Patch & FitzGerald, P.A.",https://www.patchandfitzgerald.com,John L. Ward,matched — user-confirmed / official firm website
P&P,"Prunier & Prolman, PLLC",https://prunierlaw.com/,Gerald R. Prunier,matched — expanded all-attorney historical verification
P&P,"Prunier & Prolman, PLLC",https://prunierlaw.com/,John C. Pomykato,matched — expanded all-attorney historical verification
PA,Pierce Atwood LLP,https://www.pierceatwood.com,Elaine M. Kennedy,matched — user-confirmed / official firm website
PA,Pierce Atwood LLP,https://www.pierceatwood.com,Michele E. Kenney,matched — user-confirmed / official firm website
PFB&P,"Preti, Flaherty, Beliveau & Pachios, Chartered, LLP",https://www.preti.com/,Peter G. Callaghan,matched — expanded all-attorney historical verification
PFB&P,"Preti, Flaherty, Beliveau & Pachios, Chartered, LLP",https://www.preti.com/,William C. Saturley,matched — expanded all-attorney historical verification
PLC,Plymouth Law Center,https://plymouthlawcenter.com/,Gabriel Nizetic,user-confirmed firm mapping
PM&M,"Parnell, Michels & McKay, PLLC",https://pmmlawyers.com/,David Stamatis,matched — expanded all-attorney historical verification
PPE&C,Primmer Piper Eggleston & Cramer PC,https://www.primmer.com,Brendan D. O'Brien,matched
PPE&C,Primmer Piper Eggleston & Cramer PC,https://www.primmer.com,Doreen F. Connon,matched
PPE&C,Primmer Piper Eggleston & Cramer PC,https://www.primmer.com,Doreen F. Connor,matched
PPE&C,Primmer Piper Eggleston & Cramer PC,https://www.primmer.com,Gary M. Burt,matched
RY&P,"Rath, Young and Pignatelli, P.C.",https://www.rathlaw.com,Christopher J. Sullivan,matched
RY&P,"Rath, Young and Pignatelli, P.C.",https://www.rathlaw.com,Michael S. Lewis,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Alexander W. Campbell,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Andrew J. Piela,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,James D. Rosenberg,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Jared P. O'Connor,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Karyn P. Forbes,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Olivia F. Bensinger,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,Stephanie K. Annunziata,matched
S&G,"Shaheen & Gordon, P.A.",https://www.shaheengordon.com,William E. Christie,matched
S&H,"Sulloway & Hollis, P.L.L.C.",https://www.sulloway.com/,David W. Johnston,user-confirmed firm mapping
S&H,"Sulloway & Hollis, P.L.L.C.",https://www.sulloway.com/,Derek D. Lick,user-confirmed firm mapping
S&H,"Sulloway & Hollis, P.L.L.C.",https://www.sulloway.com/,Margaret H. Nelson,user-confirmed firm mapping
S&H,"Sulloway & Hollis, P.L.L.C.",https://www.sulloway.com/,Patrick J. Sheehan,user-confirmed firm mapping
S&W,"Samdperil & Welsh, PLLC",https://swnhlaw.com/,Richard E. Samdperil,matched — expanded all-attorney historical verification
S-WS,"Smith-Weiss, Shepard, P.C.",https://www.nhlaw-nashua.com/,Robert M. Shepard,matched — expanded all-attorney historical verification
SB&W,"Schuster, Buttrey & Wing, P.A.",,Barry C. Schuster,matched firm — website not verified
SCL,"Sassoon Cymrot Law, LLC",https://sassooncymrot.com/,Anthony M. Ambriano,matched — expanded all-attorney historical verification
SD&H,"Seufert, Davis & Hunt, PLLC",https://davishuntlaw.com/,Brad C. Davis,matched — expanded all-attorney historical verification
SE,Saul Ewing LLP,https://www.saul.com,Paul M. Hummer,matched — NH Supreme Court opinion
SEA,"State Employees' Association of New Hampshire, SEIU Local 1984",https://seiu1984.org,Gary J. Snyder,identified — user-confirmed non-law-firm labor union
SL,Solomon Law Firm,https://www.solomonlawfirm.com/,Olivier R. Kerzner,matched — expanded all-attorney historical verification
SL&V,"Stebbins, Lazos & Van Der Beken, P.A.",https://www.slvlaw.com/,Henry B. Stebbins,matched — expanded all-attorney historical verification
SLKS&L,"Soule, Leslie, Kidder, Sayward & Loughman, P.L.L.C.",https://www.soulefirm.com/,David W. Sayward,matched — expanded all-attorney historical verification
SLKS&L,"Soule, Leslie, Kidder, Sayward & Loughman, P.L.L.C.",https://www.soulefirm.com/,Peter C. Phillips,matched — expanded all-attorney historical verification
SPB&G,"Sheehan, Phinney, Bass & Green, P.A.",https://www.sheehan.com/,Brian J. Bouchard,matched — expanded all-attorney historical verification
SPB&G,"Sheehan, Phinney, Bass & Green, P.A.",https://www.sheehan.com/,James Q. Shirley,matched — expanded all-attorney historical verification
SPB&G,"Sheehan, Phinney, Bass & Green, P.A.",https://www.sheehan.com/,John-Mark Turner,matched — expanded all-attorney historical verification
SPB+G,"Sheehan, Phinney, Bass & Green, P.A.",https://www.sheehan.com/,Robert H. Miller,matched — expanded all-attorney historical verification
SR,"Shaughnessy Raiche, PLLC",,Brian C. Shaughnessy,matched — NH Supreme Court opinion / historical firm
Seufert L/O,Seufert Law Office,https://seufertlaw.com/,Christopher C. Snook,matched — user-confirmed firm identity
Sisti L/O,Sisti Law Offices,https://sistilawoffices.com/,Colin Sandiford,matched — user-confirmed firm identity
Sisti L/O,Sisti Law Offices,https://sistilawoffices.com/,Mark L. Sisti,matched — user-confirmed firm identity
Sisti LO,Sisti Law Offices,https://sistilawoffices.com/,D. Wade Harwood,matched — user-confirmed firm identity
T&B,"Tarbell & Brodich, P.A.",https://www.tarbellbrodich.com,Friedrich K. Moeckel,matched — official attorney profile
T&K,"Trombley & Kfoury, P.A.",https://www.trombleykfoury.com/,"Paul R. Kfoury, Jr.",matched — expanded all-attorney historical verification
TC,Thompson Coburn LLP,https://www.thompsoncoburn.com,John E. Galvin,matched — official attorney profile
TLC,"The Legal Connection, P.C.",,Michael Bedard,matched — attorney LinkedIn / legal directories
TMG,The MuniLaw Group,https://www.munilawgroup.com,Tony F. Soltani,matched — NH Supreme Court opinion / legal directory
U&H,"Upton & Hatfield, LLP",https://www.uptonhatfield.com,Barton L. Mayer,matched
